Initial points a0=0.900000, f(a0)=-7.271000, b0=10.000000, f(b0)=992.000000
a1=10.0000000000000000, f(a1)=992.0000000000000000, b1=0.9662143702759316, f(b1)=-7.0979710480860518
a2=10.0000000000000000, f(a2)=992.0000000000000000, b2=1.0303938108438389, f(b2)=-6.9060191389474692
a3=10.0000000000000000, f(a3)=992.0000000000000000, b3=1.0924059229187364, f(b3)=-6.6963766267332998
a4=10.0000000000000000, f(a4)=992.0000000000000000, b4=1.1521323885134833, f(b4)=-6.4706490514479471
a5=10.0000000000000000, f(a5)=992.0000000000000000, b5=1.2094715263459188, f(b5)=-6.2307592011760322
a6=10.0000000000000000, f(a6)=992.0000000000000000, b6=1.2643402685335974, f(b6)=-5.9788808798875364
a7=10.0000000000000000, f(a7)=992.0000000000000000, b7=1.3166755132389951, f(b7)=-5.7173660271796507
a8=10.0000000000000000, f(a8)=992.0000000000000000, b8=1.3664348399922914, f(b8)=-5.4486691521661239
a9=10.0000000000000000, f(a9)=992.0000000000000000, b9=1.4135966054198152, f(b9)=-5.1752730023070441
a10=10.0000000000000000, f(a10)=992.0000000000000000, b10=1.4581594650072747, f(b10)=-4.8996190218539386
a11=10.0000000000000000, f(a11)=992.0000000000000000, b11=1.5001413893337758, f(b11)=-4.6240455320349394
a12=10.0000000000000000, f(a12)=992.0000000000000000, b12=1.5395782596438816, f(b12)=-4.3507357766247567
