Initial points a0=-0.200000, f(a0)=-8.008000, b0=3.000000, f(b0)=19.000000
a1=3.0000000000000000, f(a1)=19.0000000000000000, b1=0.7488151658767772, f(b1)=-7.5801212506244724
a2=3.0000000000000000, f(a2)=19.0000000000000000, b2=1.3908082493289478, f(b2)=-5.3096934197633203
a3=3.0000000000000000, f(a3)=19.0000000000000000, b3=1.7422859377612148, f(b3)=-2.7111859953874848
a4=3.0000000000000000, f(a4)=19.0000000000000000, b4=1.8993430765314379, f(b4)=-1.1481120216218939
a5=3.0000000000000000, f(a5)=19.0000000000000000, b5=1.9620624739697443, f(b5)=-0.4466693788827509
a6=3.0000000000000000, f(a6)=19.0000000000000000, b6=1.9859027985537820, f(b6)=-0.1679768323751141
a7=3.0000000000000000, f(a7)=19.0000000000000000, b7=1.9947897477143053, f(b7)=-0.0623602884963592
a8=3.0000000000000000, f(a8)=19.0000000000000000, b8=1.9980781758199193, f(b8)=-0.0230397368099746
a9=3.0000000000000000, f(a9)=19.0000000000000000, b9=1.9992916525014934, f(b9)=-0.0084971598004246
a10=3.0000000000000000, f(a10)=19.0000000000000000, b10=1.9997389881677921, f(b10)=-0.0031317332412177
a11=3.0000000000000000, f(a11)=19.0000000000000000, b11=1.9999038320842908, f(b11)=-0.0011539594997920
a12=3.0000000000000000, f(a12)=19.0000000000000000, b12=1.9999645689467009, f(b12)=-0.0004251651074760
