Initial points a0=-100.000000, f(a0)=-1000008.000000, b0=100.000000, f(b0)=999992.000000
a1=100.0000000000000000, f(a1)=999992.0000000000000000, b1=0.0007999999999981, f(b1)=-7.9999999994879998
a2=100.0000000000000000, f(a2)=999992.0000000000000000, b2=0.0015999935999469, f(b2)=-7.9999999959040489
a3=100.0000000000000000, f(a3)=999992.0000000000000000, b3=0.0023999807995886, f(b3)=-7.9999999861763316
a4=100.0000000000000000, f(a4)=999992.0000000000000000, b4=0.0031999615983598, f(b4)=-7.9999999672331796
a5=100.0000000000000000, f(a5)=999992.0000000000000000, b5=0.0039999359953905, f(b5)=-7.9999999360030722
a6=100.0000000000000000, f(a6)=999992.0000000000000000, b6=0.0047999039895031, f(b6)=-7.9999998894146360
a7=100.0000000000000000, f(a7)=999992.0000000000000000, b7=0.0055998655792133, f(b7)=-7.9999998243966459
a8=100.0000000000000000, f(a8)=999992.0000000000000000, b8=0.0063998207627295, f(b8)=-7.9999997378780243
a9=100.0000000000000000, f(a9)=999992.0000000000000000, b9=0.0071997695379531, f(b9)=-7.9999996267878402
a10=100.0000000000000000, f(a10)=999992.0000000000000000, b10=0.0079997119024785, f(b10)=-7.9999994880553125
a11=100.0000000000000000, f(a11)=999992.0000000000000000, b11=0.0087996478535933, f(b11)=-7.9999993186098077
a12=100.0000000000000000, f(a12)=999992.0000000000000000, b12=0.0095995773882780, f(b12)=-7.9999991153808390
