Initial points a0=0.100000, f(a0)=-7.999000, b0=6.000000, f(b0)=208.000000
a1=6.0000000000000000, f(a1)=208.0000000000000000, b1=0.3184922152417373, f(b1)=-7.9676930124272767
a2=0.3184922152417373, f(a2)=-7.9676930124272767, b2=0.5281000007639206, f(b2)=-7.8527183963198510
a3=0.5281000007639206, f(a3)=-7.8527183963198510, b3=14.8442244559566685, f(b3)=3262.9396986237547935
a4=14.8442244559566685, f(a4)=3262.9396986237547935, b4=0.5624710275794094, f(b4)=-7.8220489841233922
a5=0.5624710275794094, f(a5)=-7.8220489841233922, b5=0.5966259381220809, f(b5)=-7.7876235335110628
a6=0.5966259381220809, f(a6)=-7.7876235335110628, b6=8.3230486979104938, f(b6)=568.5637145792458114
a7=8.3230486979104938, f(a7)=568.5637145792458114, b7=0.7010248832360269, f(b7)=-7.6554912147566583
a8=0.7010248832360269, f(a8)=-7.6554912147566583, b8=0.8022890128679131, f(b8)=-7.4835925083083588
a9=0.8022890128679131, f(a9)=-7.4835925083083588, b9=5.2108124830632701, f(b9)=133.4869336829014799
a10=5.2108124830632701, f(a10)=133.4869336829014799, b10=1.0363208641040105, f(b10)=-6.8870318775085044
a11=1.0363208641040105, f(a11)=-6.8870318775085044, b11=1.2411299021431332, f(b11)=-6.0881592367063000
a12=1.2411299021431332, f(a12)=-6.0881592367063000, b12=2.8019669780588972, f(b12)=13.9982958311780514
