Initial points a0=0.900000, f(a0)=-7.271000, b0=10.000000, f(b0)=992.000000
a1=10.0000000000000000, f(a1)=992.0000000000000000, b1=0.9662143702759316, f(b1)=-7.0979710480860518
a2=0.9662143702759316, f(a2)=-7.0979710480860518, b2=1.0303938108438389, f(b2)=-6.9060191389474692
a3=1.0303938108438389, f(a3)=-6.9060191389474692, b3=3.3394328137792897, f(b3)=29.2407253154423614
a4=3.3394328137792897, f(a4)=29.2407253154423614, b4=1.4715474413449063, f(b4)=-4.8134348382134142
a5=1.4715474413449063, f(a5)=-4.8134348382134142, b5=1.7355664183185524, f(b5)=-2.7721428151507341
a6=1.7355664183185524, f(a6)=-2.7721428151507341, b6=2.0941130161653545, f(b6)=1.1833333362905378
a7=2.0941130161653545, f(a7)=1.1833333362905378, b7=1.9868490293274914, f(b7)=-0.1567762343267933
a8=1.9868490293274914, f(a8)=-0.1567762343267933, b8=1.9993975882692594, f(b8)=-0.0072267635881422
a9=1.9993975882692594, f(a9)=-0.0072267635881422, b9=2.0000039793744642, f(b9)=0.0000477525885820
a10=2.0000039793744642, f(a10)=0.0000477525885820, b10=1.9999999988011501, f(b10)=-0.0000000143861989
a11=1.9999999988011501, f(a11)=-0.0000000143861989, b11=1.9999999999999976, f(b11)=-0.0000000000000293
