Initial points a0=0.950000, f(a0)=-0.000000, b0=1.010000, f(b0)=0.000000
a1=0.9800000000000000, f(a1)=-0.0000000000012800, b1=1.0100000000000000, f(b1)=0.0000000000000100
a2=0.9950000000000000, f(a2)=-0.0000000000000001, b2=1.0100000000000000, f(b2)=0.0000000000000100
a3=0.9950000000000000, f(a3)=-0.0000000000000001, b3=1.0024999999999999, f(b3)=0.0000000000000000
a4=0.9987500000000000, f(a4)=-0.0000000000000000, b4=1.0024999999999999, f(b4)=0.0000000000000000
a5=0.9987500000000000, f(a5)=-0.0000000000000000, b5=1.0006249999999999, f(b5)=0.0000000000000000
a6=0.9996875000000000, f(a6)=-0.0000000000000000, b6=1.0006249999999999, f(b6)=0.0000000000000000
a7=0.9996875000000000, f(a7)=-0.0000000000000000, b7=1.0001562499999999, f(b7)=0.0000000000000000
a8=0.9999218749999998, f(a8)=-0.0000000000000000, b8=1.0001562499999999, f(b8)=0.0000000000000000
a9=0.9999218749999998, f(a9)=-0.0000000000000000, b9=1.0000390625000000, f(b9)=0.0000000000000000
a10=0.9999804687499999, f(a10)=-0.0000000000000000, b10=1.0000390625000000, f(b10)=0.0000000000000000
a11=0.9999804687499999, f(a11)=-0.0000000000000000, b11=1.0000097656250000, f(b11)=0.0000000000000000
a12=0.9999951171874999, f(a12)=-0.0000000000000000, b12=1.0000097656250000, f(b12)=0.0000000000000000
