Initial points a0=-100.000000, f(a0)=-1000008.000000, b0=100.000000, f(b0)=999992.000000
a1=100.0000000000000000, f(a1)=999992.0000000000000000, b1=0.0007999999999981, f(b1)=-7.9999999994879998, u=1.000000
a2=100.0000000000000000, f(a2)=999992.0000000000000000, b2=0.0007999999999981, f(b2)=-7.9999999994879998, u=0.500000
a3=100.0000000000000000, f(a3)=999992.0000000000000000, b3=0.0007999999999981, f(b3)=-7.9999999994879998, u=0.250000
a4=100.0000000000000000, f(a4)=999992.0000000000000000, b4=0.0007999999999981, f(b4)=-7.9999999994879998, u=0.125000
a5=100.0000000000000000, f(a5)=999992.0000000000000000, b5=0.0007999999999981, f(b5)=-7.9999999994879998, u=0.062500
a6=100.0000000000000000, f(a6)=999992.0000000000000000, b6=0.0007999999999981, f(b6)=-7.9999999994879998, u=0.031250
a7=100.0000000000000000, f(a7)=999992.0000000000000000, b7=0.0007999999999981, f(b7)=-7.9999999994879998, u=0.015625
a8=100.0000000000000000, f(a8)=999992.0000000000000000, b8=0.0007999999999981, f(b8)=-7.9999999994879998, u=0.007812
a9=100.0000000000000000, f(a9)=999992.0000000000000000, b9=0.0007999999999981, f(b9)=-7.9999999994879998, u=0.003906
a10=100.0000000000000000, f(a10)=999992.0000000000000000, b10=0.0007999999999981, f(b10)=-7.9999999994879998, u=0.001953
a11=100.0000000000000000, f(a11)=999992.0000000000000000, b11=0.0007999999999981, f(b11)=-7.9999999994879998, u=0.000977
a12=100.0000000000000000, f(a12)=999992.0000000000000000, b12=0.0007999999999981, f(b12)=-7.9999999994879998, u=0.000488
