Initial points a0=1000.000000, f(a0)=999999992.000000
a1=666.6666693333334024, f(a1)=296296291.8518519401550293
a2=444.4444522222222531, f(a2)=87791491.8079562038183212
a3=296.2963149814810322, f(a3)=26012291.7949501499533653
a4=197.5309070293168361, f(a4)=7707343.6429487364366651
a5=131.6873396965982579, f(a5)=2283655.3016162859275937
a6=87.7917135709433722, f(a6)=676636.5338184607680887
a7=58.5281550358087372, f(a7)=200482.8248561182990670
a8=39.0195484888232329, f(a8)=59400.2444727503243485
a9=26.0147838021330884, f(a9)=17597.9986016998918785
a10=17.3471294923635213, f(a10)=5212.1485417036656145
a11=11.5736146224297780, f(a11)=1542.2689597608691656
a12=7.7356512221603424, f(a12)=454.9036885214264316
