Initial points a0=0.500000, f(a0)=-7.875000, b0=3.100000, f(b0)=21.791000
a1=1.8000000000000000, f(a1)=-2.1679999999999993, b1=3.1000000000000001, f(b1)=21.7910000000000039
a2=1.8000000000000000, f(a2)=-2.1679999999999993, b2=2.4500000000000002, f(b2)=6.7061250000000037
a3=1.8000000000000000, f(a3)=-2.1679999999999993, b3=2.1250000000000000, f(b3)=1.5957031250000000
a4=1.9624999999999999, f(a4)=-0.4416152343750008, b4=2.1250000000000000, f(b4)=1.5957031250000000
a5=1.9624999999999999, f(a5)=-0.4416152343750008, b5=2.0437500000000002, f(b5)=0.5365681152343775
a6=1.9624999999999999, f(a6)=-0.4416152343750008, b6=2.0031249999999998, f(b6)=0.0375586242675752
a7=1.9828124999999999, f(a7)=-0.2044826164245617, b7=2.0031249999999998, f(b7)=0.0375586242675752
a8=1.9929687499999997, f(a8)=-0.0840787167549166, b8=2.0031249999999998, f(b8)=0.0375586242675752
a9=1.9980468749999998, f(a9)=-0.0234146192669895, b9=2.0031249999999998, f(b9)=0.0375586242675752
a10=1.9980468749999998, f(a10)=-0.0234146192669895, b10=2.0005859374999999, f(b10)=0.0070333101376878
a11=1.9993164062499997, f(a11)=-0.0082003215169566, b11=2.0005859374999999, f(b11)=0.0070333101376878
a12=1.9999511718749998, f(a12)=-0.0005859231950041, b12=2.0005859374999999, f(b12)=0.0070333101376878
