Initial points a0=0.100000, f(a0)=-7.999000, b0=6.000000, f(b0)=208.000000
a1=6.0000000000000000, f(a1)=208.0000000000000000, b1=0.3184922152417373, f(b1)=-7.9676930124272767
a2=6.0000000000000000, f(a2)=208.0000000000000000, b2=0.5281000007639206, f(b2)=-7.8527183963198510
a3=6.0000000000000000, f(a3)=208.0000000000000000, b3=0.7271676340374997, f(b3)=-7.6154935573560190
a4=6.0000000000000000, f(a4)=208.0000000000000000, b4=0.9134029562284072, f(b4)=-7.2379433827318742
a5=6.0000000000000000, f(a5)=208.0000000000000000, b5=1.0844531940952675, f(b5)=-6.7246410426728396
a6=6.0000000000000000, f(a6)=208.0000000000000000, b6=1.2383958791902547, f(b6)=-6.1007659202816331
a7=6.0000000000000000, f(a7)=208.0000000000000000, b7=1.3740770012135406, f(b7)=-5.4056222453303926
a8=6.0000000000000000, f(a8)=208.0000000000000000, b8=1.4912528844181487, f(b8)=-4.6836993952975643
a9=6.0000000000000000, f(a9)=208.0000000000000000, b9=1.5905440675170039, f(b9)=-3.9761932166045995
a10=6.0000000000000000, f(a10)=208.0000000000000000, b10=1.6732554725177538, f(b10)=-3.3152463070962996
a11=6.0000000000000000, f(a11)=208.0000000000000000, b11=1.7411361582096831, f(b11)=-2.7216497624808813
a12=6.0000000000000000, f(a12)=208.0000000000000000, b12=1.7961430157229581, f(b12)=-2.2054096123809579
