Initial points a0=-0.200000, f(a0)=-8.008000
a1=66.5333333333333172, f(a1)=294514.0717037034919485
a2=44.3561579627747875, f(a2)=87261.3546271644590888
a3=29.5721273546105508, f(a3)=25853.1422747241740581
a4=19.7178008939133385, f(a4)=7658.1167795218898391
a5=13.1520594534180493, f(a5)=2266.9994198309764215
a6=8.7834559729687491, f(a6)=669.6357129194425397
a7=5.8902024198586265, f(a7)=196.3575368339476768
a8=4.0036630135882154, f(a8)=56.1759857134060070
a9=2.8354705100505502, f(a9)=14.7968795433616762
a10=2.2219930454971513, f(a10)=2.9705420392554736
a11=2.0214400941186876, f(a11)=0.2600490507709363
a12=2.0002265971029196, f(a12)=0.0027194733241522
