Initial points a0=0.950000, f(a0)=-0.000000, b0=1.010000, f(b0)=0.000000
a1=0.9800000000000000, f(a1)=-0.0000000000012861, b1=1.0100000000000000, f(b1)=0.0000000000000142
a2=0.9950000000000000, f(a2)=-0.0000000000000036, b2=1.0100000000000000, f(b2)=0.0000000000000142
a3=0.9950000000000000, f(a3)=-0.0000000000000036, b3=1.0024999999999999, f(b3)=0.0000000000000089
a4=0.9987500000000000, f(a4)=-0.0000000000000009, b4=1.0024999999999999, f(b4)=0.0000000000000089
a5=0.9987500000000000, f(a5)=-0.0000000000000009, b5=1.0006249999999999, f(b5)=0.0000000000000036
a6=0.9987500000000000, f(a6)=-0.0000000000000009, b6=0.9996875000000000, f(b6)=0.0000000000000044
a7=0.9992187500000000, f(a7)=-0.0000000000000009, b7=0.9996875000000000, f(b7)=0.0000000000000044
a8=0.9992187500000000, f(a8)=-0.0000000000000009, b8=0.9994531250000001, f(b8)=0.0000000000000018
a9=0.9992187500000000, f(a9)=-0.0000000000000009, b9=0.9993359375000000, f(b9)=0.0000000000000027
a10=0.9992187500000000, f(a10)=-0.0000000000000009, b10=0.9992773437500000, f(b10)=0.0000000000000036
a11=0.9992480468750000, f(a11)=-0.0000000000000036, b11=0.9992773437500000, f(b11)=0.0000000000000036
a12=0.9992480468750000, f(a12)=-0.0000000000000036, b12=0.9992626953125000, f(b12)=0.0000000000000071
