Initial points a0=0.100000, f(a0)=-7.999000
a1=266.7333333333332916, f(a1)=18977180.7410370260477066
a2=177.8222597034792329, f(a2)=5622866.2936413511633873
a3=118.5482574684455983, f(a3)=1666032.3833036711439490
a4=79.0323613941441465, f(a4)=493637.1506170315551572
a5=52.6886678615353219, f(a5)=146260.7853968200215604
a6=35.1267391560279236, f(a6)=43334.4550296254892601
a7=23.4199872945730512, f(a7)=12837.7647813685161964
a8=15.6181866443840391, f(a8)=3801.7091906359942186
a9=10.4230566282518531, f(a9)=1124.3620131651696283
a10=6.9732502949344273, f(a10)=331.0828006958400920
a11=4.7036736282498737, f(a11)=96.0666416808744543
a12=3.2563122012182433, f(a12)=26.5285316054768430
